count	common name and view in browser	scientific name and data download	NCBI assembly	BioSample	BioProject	assembly date, source link	class VGP link
20	climbing perch	Anabas testudineus	GCF_900324465.2_fAnaTes1.2	SAMEA104026376	PRJEB25768	2018-12-19	fish
21	common brushtail	Trichosurus vulpecula	GCF_011100635.1_mTriVul1.pri	SAMN12629507	PRJNA562014	2020-03-10	mammals
22	common tern	Sterna hirundo	GCA_009819605.1_bSteHir1.pri	SAMN12369541	PRJNA558062	2019-12-31	birds
23	common yellowthroat	Geothlypis trichas	GCA_009764595.1_bGeoTri1.pri	SAMN12631222	PRJNA589703	2019-12-19	birds
24	common toad	Bufo bufo	GCF_905171765.1_aBufBuf1.1	SAMEA7521636	PRJEB42168	2021-01-28	amphibians
25	copperband butterflyfish	Chelmon rostratus	GCF_017976325.1_fCheRos1.pri	SAMN12623620	PRJNA561969	2021-04-15	fish
26	denticle herring	Denticeps clupeoides	GCF_900700375.1_fDenClu1.1	SAMEA104129917	PRJEB31545	2019-03-16	fish
27	East African grey crowned-crane	Balearica regulorum gibbericeps	GCA_011004875.1_bBalReg1.pri	SAMN12615749	PRJNA561890	2020-03-05	birds
28	eastern happy	Astatotilapia calliptera	GCF_900246225.1_fAstCal1.2	SAMEA104026430	PRJEB24325	2018-05-30	fish
29	Egyptian rousette	Rousettus aegyptiacus	GCF_014176215.1_mRouAeg1.p	SAMN14734550	PRJNA628585	2020-08-07	mammals
30	electric eel	Electrophorus electricus	GCF_013358815.1_fEleEle1.pri	SAMN12623625	PRJNA561981	2020-06-23	fish
31	ermine	Mustela erminea	GCF_009829155.1_mMusErm1.Pri	SAMN12611999	PRJNA561931	2020-01-03	mammals
32	Eurasian red squirrel	Sciurus vulgaris	GCA_902686455.1_mSciVul1.1	SAMEA994733	PRJEB35380	2019-11-26	mammals
33	Eurasian water vole (2021)	Arvicola amphibius	GCF_903992535.2_mArvAmp1.2	SAMEA994740	PRJEB39550	2021-05-15	mammals
34	European common frog	Rana temporaria	GCF_905171775.1_aRanTem1.1	SAMEA7521635	PRJEB42171	2021-01-28	amphibians
35	European eel	Anguilla anguilla	GCF_013347855.1_fAngAng1.pri	SAMN12623627	PRJNA561979	2020-06-18	fish
36	European starfish	Asterias rubens	GCF_902459465.1_eAstRub1.3	SAMEA994741	PRJEB33974	2020-02-12	echinoderm
37	European turtle dove	Streptopelia turtur	GCA_901699155.1_bStrTur1.1	SAMEA994735	PRJEB32724	2019-06-05	birds
38	flier cichlid	Archocentrus centrarchus	GCF_007364275.1_fArcCen1	SAMN09948522	PRJNA489129	2019-08-01	fish
39	Gabon caecilian	Geotrypetes seraphini	GCF_902459505.1_aGeoSer1.1	SAMEA104387963	PRJEB33992	2019-08-18	amphibians
40	gilthead seabream	Sparus aurata	GCF_900880675.1_fSpaAur1.1	SAMEA104384835	PRJEB31901	2019-07-30	fish
41	golden eagle (2021)	Aquila chrysaetos chrysaetos	GCF_900496995.4_bAquChr1.4	SAMEA994725	PRJEB27699	2021-03-26	birds
42	Goodes thornscrub tortoise	Gopherus evgoodei	GCF_007399415.2_rGopEvg1_v1.p	SAMN03496275	PRJNA489103	2019-07-25	reptiles
43	great scallop	Pecten maximus	GCF_902652985.1_xPecMax1.1	SAMEA994736	PRJEB35330	2019-11-26	molluscs
44	great white shark	Carcharodon carcharias	GCF_017639515.1_sCarCar2.pri	SAMN12629504	PRJNA562007	2021-03-30	sharks
45	greater horseshoe bat	Rhinolophus ferrumequinum	GCA_004115265.2_mRhiFer1_v1.p	SAMN09948510	PRJNA489106	2019-05-16	mammals
46	greater pipefish	Syngnathus acus	GCF_901709675.1_fSynAcu1.2	SAMEA104381750	PRJEB32741	2020-07-31	fish
47	greater mouse-eared bat	Myotis myotis	GCF_014108235.1_mMyoMyo1.p	SAMN14734277	PRJNA628559	2020-08-07	mammals
48	green sea turtle	Chelonia mydas	GCF_015237465.1_rCheMyd1.pri	SAMN12612360	PRJNA561941	2020-11-05	reptiles
